District,State,Total,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&under,YearSpan,Year,state_id
Pacific,AK,"8,743","3,693",409,535,706,734,758,813,"1,095",23-24,2024,01
Pacific,AK,"8,503","3,633",389,540,649,734,732,768,"1,058",22-23,2023,01
Pacific,AK,"8,130","3,302",393,534,626,730,717,751,"1,077",21-22,2022,01
Pacific,AK,6753,2403,330,530,634,669,684,655,848,20-21,2021,01
Pacific,AK,8540,3988,309,522,620,668,715,700,1018,19-20,2020,01
Pacific,AK,"8,609","4,072",316,489,627,688,700,750,967,18-19,2019,01
Pacific,AK,"8,664","4,117",293,458,641,712,692,778,973,17-18,2018,01
Pacific,AK,"8,793","4,150",305,446,625,698,735,773,"1,061",16-17,2017,01
Pacific,AK,"8,755","4,083",320,422,577,707,738,762,"1,146",15-16,2016,01
Pacific,AK,"8,788","4,220",333,460,578,671,715,716,"1,095",14-15,2015,01
Pacific,AK,"8,469","4,145",336,449,545,660,689,680,965,13-14,2014,01
Pacific,AK,"8,454","4,100",362,444,611,652,690,663,932,13-Dec,2013,01
Pacific,AK,"8,616","4,155",362,492,601,652,737,722,895,12-Nov,2012,01
Pacific,AK,"8,640","4,156",367,526,618,694,707,675,897,11-Oct,2011,01
Pacific,AK,"8,477","3,979",382,513,711,701,687,670,834,10-Sep,2010,01
Pacific,AK,"8,350","3,798",347,591,721,714,728,668,783,9-Aug,2009,01
Pacific,AK,"8,215",3796,383,580,714,760,693,595,694,8-Jul,2008,01
Pacific,AK,"8,310",3664,398,551,793,801,722,656,725,7-Jun,2007,01
Southeastern,AL,"2,161",944,72,111,170,208,206,221,229,23-24,2024,02
Southeastern,AL,"2,120",900,46,109,151,215,228,220,251,22-23,2023,02
Southeastern,AL,"2,080",894,66,98,152,194,212,198,266,21-22,2022,02
Southeastern,AL,1715,702,56,92,126,165,205,174,195,20-21,2021,02
Southeastern,AL,2164,889,72,118,141,187,230,236,291,19-20,2020,02
Southeastern,AL,"2,140",853,71,106,132,178,232,258,310,18-19,2019,02
Southeastern,AL,"2,043",780,44,104,139,165,228,267,316,17-18,2018,02
Southeastern,AL,"1,793",699,60,81,132,154,181,232,254,16-17,2017,02
Southeastern,AL,"1,564",652,58,78,112,160,156,164,184,15-16,2016,02
Southeastern,AL,"1,497",641,55,85,94,154,159,137,172,14-15,2015,02
Southeastern,AL,"1,236",508,48,83,96,118,141,111,131,13-14,2014,02
Southeastern,AL,"1,203",479,52,74,107,125,133,120,113,13-Dec,2013,02
Southeastern,AL,"1,419",452,87,132,153,170,120,157,148,12-Nov,2012,02
Southeastern,AL,"1,272",425,84,87,118,147,136,131,144,11-Oct,2011,02
Southeastern,AL,"1,114",354,63,95,109,136,121,94,142,10-Sep,2010,02
Southeastern,AL,"1,020",300,83,88,114,129,129,103,74,9-Aug,2009,02
Southeastern,AL,"1,090",347,64,85,104,126,146,122,96,8-Jul,2008,02
Southeastern,AL,974,271,56,101,104,120,133,108,81,7-Jun,2007,02
Southeastern,AR,398,50,16,23,56,52,86,69,46,23-24,2024,05
Southeastern,AR,415,83,11,24,38,65,74,79,41,22-23,2023,05
Southeastern,AR,366,57,14,23,31,63,65,66,47,21-22,2022,05
Southeastern,AR,294,52,14,19,32,33,56,49,39,20-21,2021,05
Southeastern,AR,303,51,18,17,30,30,61,44,52,19-20,2020,05
Southeastern,AR,347,93,11,26,19,42,50,47,59,18-19,2019,05
Southeastern,AR,385,140,11,27,31,36,36,55,49,17-18,2018,05
Southeastern,AR,437,185,14,30,31,24,39,50,64,16-17,2017,05
Southeastern,AR,421,234,16,27,32,36,25,23,28,15-16,2016,05
Southeastern,AR,404,219,11,19,32,28,34,31,30,14-15,2015,05
Southeastern,AR,359,184,14,14,32,36,26,25,28,13-14,2014,05
Southeastern,AR,317,133,13,18,20,40,32,29,32,13-Dec,2013,05
Southeastern,AR,281,107,17,15,19,38,38,24,23,12-Nov,2012,05
Southeastern,AR,277,93,14,16,20,24,41,38,31,11-Oct,2011,05
Southeastern,AR,216,59,19,22,17,23,35,20,21,10-Sep,2010,05
Southeastern,AR,176,31,16,19,18,24,19,24,25,9-Aug,2009,05
Southeastern,AR,182,26,15,22,20,23,18,35,23,8-Jul,2008,05
Southeastern,AR,211,29,2,,15,,27,,26,7-Jun,2007,05
Rocky Mountain,AZ,"9,524","4,896",472,653,725,805,774,735,464,23-24,2024,04
Rocky Mountain,AZ,"9,716","4,884",469,683,677,770,879,795,559,22-23,2023,04
Rocky Mountain,AZ,"9,232","4,500",442,641,716,736,870,769,558,21-22,2022,04
Rocky Mountain,AZ,7480,3653,385,593,668,623,665,529,364,20-21,2021,04
Rocky Mountain,AZ,8803,4186,408,575,670,718,804,804,638,19-20,2020,04
Rocky Mountain,AZ,"8,983","4,286",420,546,673,725,775,821,737,18-19,2019,04
Rocky Mountain,AZ,"8,617","4,098",390,532,625,669,714,762,827,17-18,2018,04
Rocky Mountain,AZ,"7,781","3,907",348,536,564,630,644,548,604,16-17,2017,04
Rocky Mountain,AZ,"7,510","3,707",394,500,573,605,610,501,620,15-16,2016,04
Rocky Mountain,AZ,"7,329","3,714",390,461,563,540,560,505,596,14-15,2015,04
Rocky Mountain,AZ,"4,860","2,332",331,415,420,436,413,286,227,13-14,2014,04
Rocky Mountain,AZ,"4,125","1,717",281,431,385,434,387,274,216,13-Dec,2013,04
Rocky Mountain,AZ,"4,113","1,717",321,408,391,384,380,285,227,12-Nov,2012,04
Rocky Mountain,AZ,"3,649","1,501",312,389,411,322,323,238,153,11-Oct,2011,04
Rocky Mountain,AZ,"3,339","1,200",347,438,396,307,283,209,159,10-Sep,2010,04
Rocky Mountain,AZ,"4,001","1,449",377,470,419,380,330,272,304,9-Aug,2009,04
Rocky Mountain,AZ,"4,039",1462,364,547,459,439,324,290,154,8-Jul,2008,04
Rocky Mountain,AZ,"3,927",1385,373,556,470,373,346,271,153,7-Jun,2007,04
Pacific,CA,"32,201","17,146","1,313","1,898","2,213","2,397","2,661","2,599","1,974",23-24,2024,06
Pacific,CA,"30,702","16,678","1,211","1,856","2,162","2,428","2,421","2,294","1,652",22-23,2023,06
Pacific,CA,"28,167","15,438","1,187","1,742","2,118","2,235","2,409","1,898","1,140",21-22,2022,06
Pacific,CA,12054,3818,933,1448,1664,1599,1368,845,379,20-21,2021,06
Pacific,CA,32823,17079,1210,1772,2280,2631,2884,2904,2063,19-20,2020,06
